t_stamp,x,y,z,x_dot,y_dot,z_dot
864.000000,46049946690.606957,51624000.000000,0.000000,-61.700686,59750.000000,0.000000
1728.000000,46049840071.540356,103247868.024561,0.000000,-123.401697,59749.847251,0.000000
2592.000000,46049680143.771535,154871472.089870,0.000000,-185.101584,59749.541742,0.000000
3456.000000,46049466909.523868,206494680.226483,0.000000,-246.798898,59749.083491,0.000000
4320.000000,46049200372.272366,258117360.502071,0.000000,-308.492189,59748.472541,0.000000
5184.000000,46048880536.742728,309739381.044149,0.000000,-370.180011,59747.708961,0.000000
6048.000000,46048507408.909816,361360610.062769,0.000000,-431.860918,59746.792846,0.000000
6912.000000,46048080995.995569,412980915.873159,0.000000,-493.533466,59745.724318,0.000000
7776.000000,46047601306.466364,464600166.918292,0.000000,-555.196214,59744.503524,0.000000
8640.000000,46047068350.029803,516218231.791374,0.000000,-616.847728,59743.130640,0.000000
9504.000000,46046482137.630963,567834979.258213,0.000000,-678.486573,59741.605864,0.000000
10368.000000,46045842681.448082,619450278.279484,0.000000,-740.111323,59739.929423,0.000000
11232.000000,46045149994.887706,671063998.032837,0.000000,-801.720556,59738.101566,0.000000
12096.000000,46044404092.579294,722676007.934864,0.000000,-863.312857,59736.122572,0.000000
12960.000000,46043604990.369287,774286177.662889,0.000000,-924.886817,59733.992741,0.000000
13824.000000,46042752705.314653,825894377.176563,0.000000,-986.441035,59731.712400,0.000000
14688.000000,46041847255.675910,877500476.739269,0.000000,-1047.974119,59729.281901,0.000000
15552.000000,46040888660.909630,929104346.939291,0.000000,-1109.484683,59726.701620,0.000000
16416.000000,46039876941.660451,980705858.710765,0.000000,-1170.971353,59723.971958,0.000000
17280.000000,46038812119.752581,1032304883.354367,0.000000,-1232.432764,59721.093338,0.000000
18144.000000,46037694218.180824,1083901292.557740,0.000000,-1293.867560,59718.066208,0.000000
19008.000000,46036523261.101124,1135494958.415649,0.000000,-1355.274398,59714.891039,0.000000
19872.000000,46035299273.820647,1187085753.449839,0.000000,-1416.651945,59711.568327,0.000000
20736.000000,46034022282.787407,1238673550.628581,0.000000,-1477.998881,59708.098587,0.000000
21600.000000,46032692315.579441,1290258223.385917,0.000000,-1539.313898,59704.482358,0.000000
22464.000000,46031309400.893564,1341839645.640558,0.000000,-1600.595701,59700.720202,0.000000
23328.000000,46029873568.533693,1393417691.814448,0.000000,-1661.843009,59696.812701,0.000000
24192.000000,46028384849.398765,1444992236.850976,0.000000,-1723.054554,59692.760459,0.000000
25056.000000,46026843275.470266,1496563156.232817,0.000000,-1784.229084,59688.564099,0.000000
25920.000000,46025248879.799368,1548130325.999404,0.000000,-1845.365360,59684.224267,0.000000
26784.000000,46023601696.493704,1599693622.764017,0.000000,-1906.462159,59679.741626,0.000000
27648.000000,46021901760.703784,1651252923.730471,0.000000,-1967.518275,59675.116859,0.000000
28512.000000,46020149108.609075,1702808106.709409,0.000000,-2028.532517,59670.350670,0.000000
29376.000000,46018343777.403742,1754359050.134184,0.000000,-2089.503710,59665.443779,0.000000
30240.000000,46016485805.282093,1805905633.076319,0.000000,-2150.430696,59660.396924,0.000000
31104.000000,46014575231.423709,1857447735.260546,0.000000,-2211.312336,59655.210861,0.000000
31968.000000,46012612095.978300,1908985237.079414,0.000000,-2272.147506,59649.886364,0.000000
32832.000000,46010596440.050287,1960518019.607456,0.000000,-2332.935102,59644.424222,0.000000
33696.000000,46008528305.683135,2012045964.614922,0.000000,-2393.674036,59638.825240,0.000000
34560.000000,46006407735.843440,2063568954.581054,0.000000,-2454.363240,59633.090239,0.000000
