t_stamp,x,y,z,x_dot,y_dot,z_dot
86.400000,45999999531.675587,5101920.000000,0.000000,-5.420421,59050.000000,0.000000
172.800000,45999998595.026760,10203839.948058,0.000000,-10.840843,59049.999399,0.000000
259.200000,45999997190.053526,15305759.792230,0.000000,-16.261264,59049.998196,0.000000
345.600000,45999995316.755900,20407679.480575,0.000000,-21.681685,59049.996393,0.000000
432.000000,45999992975.133904,25509598.961151,0.000000,-27.102106,59049.993988,0.000000
518.400000,45999990165.187567,30611518.182014,0.000000,-32.522527,59049.990982,0.000000
604.800000,45999986886.916929,35713437.091222,0.000000,-37.942947,59049.987375,0.000000
691.200000,45999983140.322034,40815355.636833,0.000000,-43.363367,59049.983167,0.000000
777.600000,45999978925.402936,45917273.766904,0.000000,-48.783786,59049.978357,0.000000
864.000000,45999974242.159696,51019191.429493,0.000000,-54.204204,59049.972947,0.000000
950.400000,45999969090.592382,56121108.572657,0.000000,-59.624622,59049.966935,0.000000
1036.800000,45999963470.701072,61223025.144455,0.000000,-65.045038,59049.960322,0.000000
1123.200000,45999957382.485849,66324941.092943,0.000000,-70.465454,59049.953108,0.000000
1209.600000,45999950825.946806,71426856.366180,0.000000,-75.885869,59049.945292,0.000000
1296.000000,45999943801.084042,76528770.912222,0.000000,-81.306282,59049.936875,0.000000
1382.400000,45999936307.897666,81630684.679128,0.000000,-86.726694,59049.927858,0.000000
1468.800000,45999928346.387791,86732597.614956,0.000000,-92.147105,59049.918239,0.000000
1555.200000,45999919916.554543,91834509.667762,0.000000,-97.567514,59049.908019,0.000000
1641.600000,45999911018.398050,96936420.785605,0.000000,-102.987922,59049.897197,0.000000
1728.000000,45999901651.918452,102038330.916543,0.000000,-108.408329,59049.885775,0.000000
1814.400000,45999891817.115896,107140240.008632,0.000000,-113.828733,59049.873751,0.000000
1900.800000,45999881513.990534,112242148.009932,0.000000,-119.249136,59049.861126,0.000000
1987.200000,45999870742.542529,117344054.868500,0.000000,-124.669537,59049.847900,0.000000
2073.600000,45999859502.772051,122445960.532394,0.000000,-130.089936,59049.834073,0.000000
2160.000000,45999847794.679277,127547864.949671,0.000000,-135.510333,59049.819644,0.000000
2246.400000,45999835618.264391,132649768.068391,0.000000,-140.930728,59049.804615,0.000000
2332.800000,45999822973.527587,137751669.836609,0.000000,-146.351120,59049.788984,0.000000
2419.200000,45999809860.469065,142853570.202386,0.000000,-151.771511,59049.772752,0.000000
2505.600000,45999796279.089033,147955469.113778,0.000000,-157.191899,59049.755919,0.000000
2592.000000,45999782229.387708,153057366.518844,0.000000,-162.612284,59049.738485,0.000000
2678.400000,45999767711.365312,158159262.365642,0.000000,-168.032667,59049.720449,0.000000
2764.800000,45999752725.022079,163261156.602230,0.000000,-173.453047,59049.701812,0.000000
2851.200000,45999737270.358246,168363049.176667,0.000000,-178.873424,59049.682574,0.000000
2937.600000,45999721347.374062,173464940.037010,0.000000,-184.293798,59049.662735,0.000000
3024.000000,45999704956.069780,178566829.131318,0.000000,-189.714170,59049.642295,0.000000
3110.400000,45999688096.445663,183668716.407650,0.000000,-195.134538,59049.621254,0.000000
3196.800000,45999670768.501981,188770601.814063,0.000000,-200.554904,59049.599611,0.000000
3283.200000,45999652972.239013,193872485.298617,0.000000,-205.975266,59049.577368,0.000000
3369.600000,45999634707.657045,198974366.809370,0.000000,-211.395625,59049.554523,0.000000
3456.000000,45999615974.756368,204076246.294380,0.000000,-216.815980,59049.531077,0.000000
3542.400000,45999596773.537286,209178123.701706,0.000000,-222.236332,59049.507029,0.000000
3628.800000,45999577104.000107,214279998.979406,0.000000,-227.656680,59049.482381,0.000000
3715.200000,45999556966.145147,219381872.075541,0.000000,-233.077025,59049.457131,0.000000
3801.600000,45999536359.972731,224483742.938168,0.000000,-238.497366,59049.431280,0.000000
3888.000000,45999515285.483192,229585611.515346,0.000000,-243.917703,59049.404828,0.000000
3974.400000,45999493742.676869,234687477.755134,0.000000,-249.338036,59049.377775,0.000000
4060.800000,45999471731.554110,239789341.605592,0.000000,-254.758365,59049.350121,0.000000
4147.200000,45999449252.115270,244891203.014778,0.000000,-260.178690,59049.321866,0.000000
4233.600000,45999426304.360713,249993061.930752,0.000000,-265.599011,59049.293009,0.000000
4320.000000,45999402888.290810,255094918.301572,0.000000,-271.019328,59049.263551,0.000000
4406.400000,45999379003.905939,260196772.075299,0.000000,-276.439640,59049.233492,0.000000
4492.800000,45999354651.206487,265298623.199991,0.000000,-281.859947,59049.202832,0.000000
4579.200000,45999329830.192848,270400471.623707,0.000000,-287.280250,59049.171571,0.000000
4665.600000,45999304540.865423,275502317.294509,0.000000,-292.700549,59049.139708,0.000000
4752.000000,45999278783.224623,280604160.160454,0.000000,-298.120843,59049.107245,0.000000
4838.400000,45999252557.270866,285706000.169604,0.000000,-303.541131,59049.074180,0.000000
4924.800000,45999225863.004575,290807837.270017,0.000000,-308.961415,59049.040514,0.000000
5011.200000,45999198700.426185,295909671.409753,0.000000,-314.381694,59049.006247,0.000000
5097.600000,45999171069.536136,301011502.536873,0.000000,-319.801968,59048.971379,0.000000
5184.000000,45999142970.334875,306113330.599436,0.000000,-325.222237,59048.935909,0.000000
5270.400000,45999114402.822860,311215155.545503,0.000000,-330.642500,59048.899839,0.000000
5356.800000,45999085367.000555,316316977.323134,0.000000,-336.062758,59048.863167,0.000000
5443.200000,45999055862.868430,321418795.880389,0.000000,-341.483011,59048.825894,0.000000
5529.600000,45999025890.426966,326520611.165328,0.000000,-346.903258,59048.788020,0.000000
5616.000000,45998995449.676650,331622423.126012,0.000000,-352.323499,59048.749545,0.000000
5702.400000,45998964540.617976,336724231.710502,0.000000,-357.743735,59048.710469,0.000000
5788.800000,45998933163.251447,341826036.866858,0.000000,-363.163964,59048.670791,0.000000
5875.200000,45998901317.577573,346927838.543141,0.000000,-368.584188,59048.630513,0.000000
5961.600000,45998869003.596873,352029636.687412,0.000000,-374.004406,59048.589633,0.000000
6048.000000,45998836221.309873,357131431.247732,0.000000,-379.424618,59048.548152,0.000000
6134.400000,45998802970.717106,362233222.172162,0.000000,-384.844824,59048.506070,0.000000
6220.800000,45998769251.819113,367335009.408763,0.000000,-390.265023,59048.463387,0.000000
6307.200000,45998735064.616444,372436792.905596,0.000000,-395.685216,59048.420102,0.000000
6393.600000,45998700409.109655,377538572.610724,0.000000,-401.105403,59048.376217,0.000000
6480.000000,45998665285.299312,382640348.472207,0.000000,-406.525583,59048.331730,0.000000
6566.400000,45998629693.185986,387742120.438106,0.000000,-411.945756,59048.286642,0.000000
6652.800000,45998593632.770257,392843888.456485,0.000000,-417.365923,59048.240953,0.000000
6739.200000,45998557104.052714,397945652.475405,0.000000,-422.786083,59048.194663,0.000000
6825.600000,45998520107.033952,403047412.442927,0.000000,-428.206236,59048.147772,0.000000
6912.000000,45998482641.714575,408149168.307113,0.000000,-433.626382,59048.100280,0.000000
6998.400000,45998444708.095193,413250920.016027,0.000000,-439.046521,59048.052186,0.000000
7084.800000,45998406306.176425,418352667.517730,0.000000,-444.466652,59048.003492,0.000000
7171.200000,45998367435.958898,423454410.760284,0.000000,-449.886777,59047.954196,0.000000
7257.600000,45998328097.443246,428556149.691753,0.000000,-455.306894,59047.904299,0.000000
7344.000000,45998288290.630112,433657884.260198,0.000000,-460.727004,59047.853801,0.000000
7430.400000,45998248015.520145,438759614.413684,0.000000,-466.147106,59047.802702,0.000000
7516.800000,45998207272.114002,443861340.100272,0.000000,-471.567201,59047.751002,0.000000
