t_stamp,x,y,z,x_dot,y_dot,z_dot
864.000000,45999953167.558703,51019200.000000,0.000000,-54.204214,59050.000000,0.000000
1728.000000,45999859502.667164,102038348.057466,0.000000,-108.408439,59049.939881,0.000000
2592.000000,45999719005.393909,153057392.229856,0.000000,-162.612585,59049.819644,0.000000
3456.000000,45999531675.884934,204076280.574776,0.000000,-216.816561,59049.639288,0.000000
4320.000000,45999297514.363706,255094961.150126,0.000000,-271.020279,59049.398814,0.000000
5184.000000,45999016521.131161,306113382.014259,0.000000,-325.223649,59049.098222,0.000000
6048.000000,45998688696.565702,357131491.226126,0.000000,-379.426580,59048.737514,0.000000
6912.000000,45998314041.123199,408149236.845434,0.000000,-433.628984,59048.316689,0.000000
7776.000000,45997892555.336988,459166566.932794,0.000000,-487.830771,59047.835749,0.000000
8640.000000,45997424239.817864,510183429.549874,0.000000,-542.031851,59047.294696,0.000000
9504.000000,45996909095.254083,561199772.759553,0.000000,-596.232134,59046.693530,0.000000
10368.000000,45996347122.411359,612215544.626069,0.000000,-650.431531,59046.032253,0.000000
11232.000000,45995738322.132855,663230693.215175,0.000000,-704.629952,59045.310867,0.000000
12096.000000,45995082695.339186,714245166.594289,0.000000,-758.827307,59044.529374,0.000000
12960.000000,45994380243.028408,765258912.832646,0.000000,-813.023508,59043.687776,0.000000
13824.000000,45993630966.276021,816271880.001449,0.000000,-867.218463,59042.786075,0.000000
14688.000000,45992834866.234956,867284016.174023,0.000000,-921.412085,59041.824274,0.000000
15552.000000,45991991944.135574,918295269.425967,0.000000,-975.604282,59040.802375,0.000000
16416.000000,45991102201.285661,969305587.835302,0.000000,-1029.794965,59039.720381,0.000000
17280.000000,45990165639.070419,1020314919.482627,0.000000,-1083.984045,59038.578296,0.000000
18144.000000,45989182258.952461,1071323212.451270,0.000000,-1138.171433,59037.376121,0.000000
19008.000000,45988152062.471802,1122330414.827438,0.000000,-1192.357038,59036.113861,0.000000
19872.000000,45987075051.245854,1173336474.700371,0.000000,-1246.540771,59034.791520,0.000000
20736.000000,45985951226.969419,1224341340.162493,0.000000,-1300.722542,59033.409100,0.000000
21600.000000,45984780591.414677,1275344959.309562,0.000000,-1354.902262,59031.966605,0.000000
22464.000000,45983563146.431180,1326347280.240825,0.000000,-1409.079842,59030.464041,0.000000
23328.000000,45982298893.945844,1377348251.059167,0.000000,-1463.255191,59028.901410,0.000000
24192.000000,45980987835.962938,1428347819.871264,0.000000,-1517.428221,59027.278718,0.000000
25056.000000,45979629974.564073,1479345934.787733,0.000000,-1571.598841,59025.595968,0.000000
25920.000000,45978225311.908196,1530342543.923287,0.000000,-1625.766963,59023.853166,0.000000
26784.000000,45976773850.231577,1581337595.396884,0.000000,-1679.932496,59022.050317,0.000000
27648.000000,45975275591.847796,1632331037.331876,0.000000,-1734.095352,59020.187425,0.000000
28512.000000,45973730539.147736,1683322817.856168,0.000000,-1788.255440,59018.264496,0.000000
29376.000000,45972138694.599570,1734312885.102362,0.000000,-1842.412671,59016.281535,0.000000
30240.000000,45970500060.748748,1785301187.207913,0.000000,-1896.566957,59014.238548,0.000000
31104.000000,45968814640.217983,1836287672.315276,0.000000,-1950.718207,59012.135541,0.000000
31968.000000,45967082435.707244,1887272288.572064,0.000000,-2004.866332,59009.972519,0.000000
32832.000000,45965303449.993737,1938254984.131194,0.000000,-2059.011242,59007.749490,0.000000
33696.000000,45963477685.931893,1989235707.151038,0.000000,-2113.152849,59005.466458,0.000000
34560.000000,45961605146.453357,2040214405.795578,0.000000,-2167.291063,59003.123431,0.000000
35424.000000,45959685834.566970,2091191028.234554,0.000000,-2221.425794,59000.720415,0.000000
36288.000000,45957719753.358755,2142165522.643619,0.000000,-2275.556954,58998.257418,0.000000
37152.000000,45955706905.991905,2193137837.204484,0.000000,-2329.684452,58995.734445,0.000000
38016.000000,45953647295.706764,2244107920.105074,0.000000,-2383.808200,58993.151505,0.000000
38880.000000,45951540925.820812,2295075719.539678,0.000000,-2437.928109,58990.508605,0.000000
39744.000000,45949387799.728649,2346041183.709100,0.000000,-2492.044088,58987.805752,0.000000
40608.000000,45947187920.901979,2397004260.820807,0.000000,-2546.156049,58985.042953,0.000000
41472.000000,45944941292.889594,2447964899.089084,0.000000,-2600.263903,58982.220218,0.000000
42336.000000,45942647919.317354,2498923046.735184,0.000000,-2654.367560,58979.337553,0.000000
43200.000000,45940307803.888170,2549878651.987476,0.000000,-2708.466932,58976.394968,0.000000
44064.000000,45937920950.381987,2600831663.081599,0.000000,-2762.561928,58973.392470,0.000000
44928.000000,45935487362.655765,2651782028.260610,0.000000,-2816.652461,58970.330068,0.000000
45792.000000,45933007044.643460,2702729695.775137,0.000000,-2870.738440,58967.207771,0.000000
46656.000000,45930480000.356005,2753674613.883527,0.000000,-2924.819777,58964.025588,0.000000
47520.000000,45927906233.881290,2804616730.852000,0.000000,-2978.896383,58960.783528,0.000000
48384.000000,45925285749.384142,2855555994.954793,0.000000,-3032.968168,58957.481600,0.000000
49248.000000,45922618551.106303,2906492354.474320,0.000000,-3087.035044,58954.119814,0.000000
50112.000000,45919904643.366415,2957425757.701313,0.000000,-3141.096921,58950.698179,0.000000
50976.000000,45917144030.559990,3008356152.934978,0.000000,-3195.153711,58947.216706,0.000000
51840.000000,45914336717.159396,3059283488.483141,0.000000,-3249.205325,58943.675403,0.000000
52704.000000,45911482707.713833,3110207712.662403,0.000000,-3303.251673,58940.074282,0.000000
53568.000000,45908582006.849307,3161128773.798286,0.000000,-3357.292667,58936.413352,0.000000
54432.000000,45905634619.268613,3212046620.225384,0.000000,-3411.328218,58932.692624,0.000000
55296.000000,45902640549.751308,3262961200.287515,0.000000,-3465.358238,58928.912109,0.000000
56160.000000,45899599803.153689,3313872462.337866,0.000000,-3519.382636,58925.071818,0.000000
57024.000000,45896512384.408768,3364780354.739148,0.000000,-3573.401325,58921.171761,0.000000
57888.000000,45893378298.526250,3415684825.863743,0.000000,-3627.414216,58917.211950,0.000000
58752.000000,45890197550.592508,3466585824.093854,0.000000,-3681.421220,58913.192396,0.000000
59616.000000,45886970145.770555,3517483297.821654,0.000000,-3735.422248,58909.113111,0.000000
60480.000000,45883696089.300023,3568377195.449437,0.000000,-3789.417211,58904.974106,0.000000
61344.000000,45880375386.497134,3619267465.389765,0.000000,-3843.406022,58900.775394,0.000000
62208.000000,45877008042.754675,3670154056.065620,0.000000,-3897.388591,58896.516986,0.000000
63072.000000,45873594063.541972,3721036915.910550,0.000000,-3951.364830,58892.198895,0.000000
63936.000000,45870133454.404865,3771915993.368822,0.000000,-4005.334649,58887.821132,0.000000
64800.000000,45866626220.965675,3822791236.895568,0.000000,-4059.297962,58883.383712,0.000000
65664.000000,45863072368.923182,3873662594.956934,0.000000,-4113.254679,58878.886645,0.000000
66528.000000,45859471904.052596,3924530016.030233,0.000000,-4167.204711,58874.329946,0.000000
67392.000000,45855824832.205526,3975393448.604086,0.000000,-4221.147971,58869.713627,0.000000
68256.000000,45852131159.309954,4026252841.178580,0.000000,-4275.084370,58865.037702,0.000000
69120.000000,45848390891.370206,4077108142.265408,0.000000,-4329.013819,58860.302184,0.000000
69984.000000,45844604034.466919,4127959300.388024,0.000000,-4382.936231,58855.507086,0.000000
70848.000000,45840770594.757017,4178806264.081788,0.000000,-4436.851516,58850.652423,0.000000
71712.000000,45836890578.473675,4229648981.894115,0.000000,-4490.759587,58845.738209,0.000000
72576.000000,45832963991.926292,4280487402.384623,0.000000,-4544.660356,58840.764457,0.000000
73440.000000,45828990841.500460,4331321474.125284,0.000000,-4598.553734,58835.731181,0.000000
74304.000000,45824971133.657930,4382151145.700566,0.000000,-4652.439633,58830.638397,0.000000
75168.000000,45820904874.936583,4432976365.707589,0.000000,-4706.317965,58825.486119,0.000000
76032.000000,45816792071.950397,4483797082.756264,0.000000,-4760.188641,58820.274362,0.000000
76896.000000,45812632731.389415,4534613245.469448,0.000000,-4814.051575,58815.003140,0.000000
77760.000000,45808426860.019711,4585424802.483090,0.000000,-4867.906678,58809.672469,0.000000
78624.000000,45804174464.683358,4636231702.446373,0.000000,-4921.753862,58804.282365,0.000000
79488.000000,45799875552.298393,4687033894.021871,0.000000,-4975.593038,58798.832842,0.000000
80352.000000,45795530129.858788,4737831325.885689,0.000000,-5029.424120,58793.323916,0.000000
81216.000000,45791138204.434407,4788623946.727613,0.000000,-5083.247019,58787.755604,0.000000
82080.000000,45786699783.170979,4839411705.251255,0.000000,-5137.061647,58782.127921,0.000000
82944.000000,45782214873.290061,4890194550.174205,0.000000,-5190.867918,58776.440883,0.000000
83808.000000,45777683482.088999,4940972430.228173,0.000000,-5244.665742,58770.694507,0.000000
84672.000000,45773105616.940899,4991745294.159136,0.000000,-5298.455033,58764.888809,0.000000
85536.000000,45768481285.294583,5042513090.727491,0.000000,-5352.235702,58759.023806,0.000000
86400.000000,45763810494.674560,5093275768.708191,0.000000,-5406.007662,58753.099515,0.000000
87264.000000,45759093252.680984,5144033276.890903,0.000000,-5459.770826,58747.115952,0.000000
88128.000000,45754329566.989618,5194785564.080144,0.000000,-5513.525106,58741.073136,0.000000
88992.000000,45749519445.351799,5245532579.095435,0.000000,-5567.270414,58734.971083,0.000000
89856.000000,45744662895.594396,5296274270.771444,0.000000,-5621.006664,58728.809810,0.000000
90720.000000,45739759925.619776,5347010587.958132,0.000000,-5674.733767,58722.589336,0.000000
91584.000000,45734810543.405759,5397741479.520898,0.000000,-5728.451637,58716.309679,0.000000
92448.000000,45729814757.005588,5448466894.340728,0.000000,-5782.160185,58709.970856,0.000000
93312.000000,45724772574.547881,5499186781.314337,0.000000,-5835.859326,58703.572886,0.000000
94176.000000,45719684004.236596,5549901089.354317,0.000000,-5889.548971,58697.115787,0.000000
95040.000000,45714549054.350991,5600609767.389282,0.000000,-5943.229034,58690.599578,0.000000
95904.000000,45709367733.245580,5651312764.364014,0.000000,-5996.899428,58684.024276,0.000000
96768.000000,45704140049.350096,5702010029.239604,0.000000,-6050.560064,58677.389902,0.000000
97632.000000,45698866011.169447,5752701510.993604,0.000000,-6104.210857,58670.696475,0.000000
98496.000000,45693545627.283677,5803387158.620166,0.000000,-6157.851720,58663.944012,0.000000
99360.000000,45688178906.347921,5854066921.130190,0.000000,-6211.482565,58657.132535,0.000000
100224.000000,45682765857.092368,5904740747.551467,0.000000,-6265.103305,58650.262062,0.000000
101088.000000,45677306488.322210,5955408586.928826,0.000000,-6318.713854,58643.332613,0.000000
101952.000000,45671800808.917607,6006070388.324276,0.000000,-6372.314126,58636.344208,0.000000
102816.000000,45666248827.833639,6056726100.817149,0.000000,-6425.904032,58629.296867,0.000000
103680.000000,45660650554.100264,6107375673.504250,0.000000,-6479.483488,58622.190610,0.000000
104544.000000,45655005996.822276,6158019055.499995,0.000000,-6533.052405,58615.025458,0.000000
105408.000000,45649315165.179253,6208656195.936558,0.000000,-6586.610698,58607.801431,0.000000
106272.000000,45643578068.425523,6259287043.964013,0.000000,-6640.158280,58600.518550,0.000000
107136.000000,45637794715.890110,6309911548.750481,0.000000,-6693.695064,58593.176836,0.000000
108000.000000,45631965116.976692,6360529659.482267,0.000000,-6747.220965,58585.776310,0.000000
108864.000000,45626089281.163555,6411141325.364012,0.000000,-6800.735895,58578.316993,0.000000
109728.000000,45620167218.003549,6461746495.618829,0.000000,-6854.239769,58570.798906,0.000000
110592.000000,45614198937.124036,6512345119.488449,0.000000,-6907.732499,58563.222071,0.000000
111456.000000,45608184448.226848,6562937146.233365,0.000000,-6961.214001,58555.586510,0.000000
112320.000000,45602123761.088237,6613522525.132973,0.000000,-7014.684188,58547.892245,0.000000
113184.000000,45596016885.558829,6664101205.485714,0.000000,-7068.142974,58540.139297,0.000000
114048.000000,45589863831.563575,6714673136.609219,0.000000,-7121.590272,58532.327689,0.000000
114912.000000,45583664609.101704,6765238267.840449,0.000000,-7175.025998,58524.457444,0.000000
115776.000000,45577419228.246672,6815796548.535840,0.000000,-7228.450064,58516.528583,0.000000
116640.000000,45571127699.146115,6866347928.071441,0.000000,-7281.862385,58508.541129,0.000000
117504.000000,45564790032.021798,6916892355.843059,0.000000,-7335.262875,58500.495106,0.000000
118368.000000,45558406237.169569,6967429781.266402,0.000000,-7388.651449,58492.390536,0.000000
119232.000000,45551976324.959304,7017960153.777215,0.000000,-7442.028021,58484.227443,0.000000
120096.000000,45545500305.834857,7068483422.831428,0.000000,-7495.392505,58476.005850,0.000000
120960.000000,45538978190.314016,7118999537.905292,0.000000,-7548.744816,58467.725780,0.000000
121824.000000,45532409988.988441,7169508448.495525,0.000000,-7602.084868,58459.387257,0.000000
122688.000000,45525795712.523623,7220010104.119449,0.000000,-7655.412575,58450.990305,0.000000
123552.000000,45519135371.658826,7270504454.315132,0.000000,-7708.727853,58442.534949,0.000000
124416.000000,45512428977.207036,7320991448.641530,0.000000,-7762.030615,58434.021211,0.000000
125280.000000,45505676540.054909,7371471036.678627,0.000000,-7815.320778,58425.449117,0.000000
126144.000000,45498878071.162718,7421943168.027572,0.000000,-7868.598255,58416.818691,0.000000
127008.000000,45492033581.564302,7472407792.310825,0.000000,-7921.862961,58408.129957,0.000000
127872.000000,45485143082.367007,7522864859.172294,0.000000,-7975.114812,58399.382942,0.000000
128736.000000,45478206584.751638,7573314318.277474,0.000000,-8028.353721,58390.577668,0.000000
129600.000000,45471224099.972401,7623756119.313588,0.000000,-8081.579606,58381.714162,0.000000
130464.000000,45464195639.356851,7674190211.989727,0.000000,-8134.792379,58372.792449,0.000000
131328.000000,45457121214.305836,7724616546.036987,0.000000,-8187.991957,58363.812555,0.000000
132192.000000,45450000836.293439,7775035071.208612,0.000000,-8241.178255,58354.774504,0.000000
133056.000000,45442834516.866927,7825445737.280130,0.000000,-8294.351188,58345.678324,0.000000
133920.000000,45435622267.646694,7875848494.049493,0.000000,-8347.510672,58336.524039,0.000000
134784.000000,45428364100.326203,7926243291.337215,0.000000,-8400.656621,58327.311676,0.000000
135648.000000,45421060026.671930,7976630078.986512,0.000000,-8453.788952,58318.041261,0.000000
136512.000000,45413710058.523307,8027008806.863439,0.000000,-8506.907579,58308.712821,0.000000
